match_id,year,group,match_date,home_team,away_team,score,home_goals,away_goals,score_probability_pct,fitted_home_lambda,fitted_away_lambda,source_type,odds_provider,source_url,source_timing
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,3-0,3.0,0.0,1.8959,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,3-1,3.0,1.0,2.0048,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,3-2,3.0,2.0,1.06,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,3-3,3.0,3.0,0.3736,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,3-4,3.0,4.0,0.0988,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,3-5,3.0,5.0,0.0209,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,4-0,4.0,0.0,0.4476,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,4-1,4.0,1.0,0.4733,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,4-2,4.0,2.0,0.2502,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
2010_2010-06-11_SouthAfrica_Mexico,2010,A,2010-06-11,South Africa,Mexico,4-3,4.0,3.0,0.0882,0.94429,1.05745,modeled_from_scraped_1x2_odds,CheckBestOdds best odds,https://checkbestodds.com/football-odds/archive-world-cup-2018/2010,archive last highest odds; not a one-week historical snapshot
